# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Farel, Guillaume, Reformator af det fr. Schweiz (1489-1565)|0781
|Farensbach, Jürgen, Kriger og Eventyrer, (1551-1602)|0781
|Faresignalstation for Fiskere|0781
|Fareskor, Distriktshovedstad i Nedreægypten, Prov. (Mudirieh) Dahkahlieh, ligger 19 km SV. f. Damiette|0782
|Fargo, By i U. S. A., Stat North Dakotah, ligger 300 km Ø. f. Bismarck ved Northern-Piacific-Banen|0782
|Fargueil, Anaïs, fr. Skuespillerinde, (1819-1896)|0782
|Faria, Manoel Severim de, portugisisk Historiker, (1583-1655)|0782
|Faria e Sousa, Manoel de, portug. Forf., (1590-1649)|0782
|Faribault, By i U. S. A., Stat Minnesota, ligger 70 km S. f. St Paul|0782
|Faridkot, en af Sikh-Staterne i Pandshab i Forindien.|0782
|Faridpur, |0782
|1) Distrikt i den indobritiske Provins Bengalen|0782
|2) By i Distriktet|0782
|Farin, se Sukker.|0782
|Farina (lat.), Mel.|0782
|Farina, se Porto Farina.|0782
|Farina, J. M., se Eau de Cologne.|0782
|Farina, Salvatore, ital. Romanforf., (1846- )|0782
|Farinato (Farinati), Paolo (F. degli Uberti), italiensk Maler og Raderer, (1524-1606)|0782-0783
|Farinelli (hans egentlige Navn var Carlo Broschi), den berømteste og mest kendte af alle ital. Kastratsangere,(1705-1782)|0783
|Faringdon, By (Rural districi) i det sydøstlige England, Berkshire, ligger 3 km S. f. Themsen, 25 km VSV. f. Oxford|0783
|Farini, Luigi Carlo, ital. Statsmand, (1812-1866)|0783-0784
|Farisæerne (»de Afsondrede«, »Separatisterne«), et Parti inden for Jødedommen, særlig kendt fra det ny Test. og Josefos|0784-0785
|Farisæisme, se Farisæer.|0785
|Farley, James Lewis, engelsk Journalist og Forf. (1823-85)|0785
|Farm, Farmer. i England tidligere: Farm og Farmer Forpagtergaard (Forpagtning) og Forpagter. Nu et «alm. Landbrug|0785
|Farmaceut (gr.) kaldes den, der praktisk udøver Farmaci uden at være Indehaver af Apotek|0785
|farmaceutiske Eksamener|0785
|farmaceutiske Læreanstalt, Den.|0785-0786
|farmaceutiske Studiums Fremme, Fonden til det, stiftet 3. Juli 1873|0786
|farmaceutiske Understøttelsesselskab, Det, stiftet 4. Oktober 1830|0786
|Farmaci (gr.), Apotekerkunst, er Læren om Lægemidlernes Indsamling, Opbevaring, Tilberedning og Dispensering|0786-0788
|Farmakodynamik (gr.), Læren om Lægemidlernes Virkning paa Organismen.|0788
|Farmakognosi (gr.) betyder egentlig Kendskab til samtlige Lægemidler efter ydre Kendetegn|0788
|Farmakokatagrafologi (gr.), Læren om Reglerne for Affattelsen af Recepter og de Former, under hvilke Lægemidlerne bør anvendes|0788
|Farmakolit, et hvidt, graaligt eller rødligt Mineral af monoklin Krystalform|0788
|Farmakologi (gr.), Læren om Lægemidlerne i videste Betydning.|0788
|Farmakope (gr.) betyder egl. »Forskrift for Lægemidlernes Tilberedning«|0788
|Farmakosiderit (Terningmalm), et oftest grønt, svagt gennemsigtigt Mineral, som krystalliserer i Terninger og Tetraedre|0788
|Farman, Henry, fransk-engelsk Aviatiker og Sportsmand, (1873- )|0789
|Farmand, norsk Forretningsblad, udkommer l Gang ugl. i Kria. grundlagt 1891|0789
|Farma-Ty(r), et Navn paa Odin|0789
|Farmer's Afsvækker benyttes i Fotografien til Opløsning af en Del af det ved Fremkaldelsen dannede Sølvbillede|0789
|Farmington, Navnet paa flere Byer i U. S. A., af hvilke nævnes: |0789
|1) F. i Connecticut, ligger ved F. River|0789
|2) F. i Maine, ligger 55 km NNV. f. Augusta ved Sandy River|0789
|3) F. i New Hampshire, ligger 40 km ØNØ. f. Concorde ved Cocheco River|0789
|Farnabazos, pers. Satrap i Frygien og Bithynien, (o. 400 f. Kr.)|0789
|Farnakes, Søn af Mithradates (VI) den Store, blev 63 f. Kr. af Romerne belønnet med det bosporanske Rige|0789
|Farnborough, By i det sydlige England, Hampshire|0789
|Farnbühl, Badested i det schweiziske Kanton Luzern med svagt jernholdig Kalkkilde|0789
|Farne, Gruppe af 17 Smaaøer, der ligger 3 km fra Englands Østkyst, lige over for Bamborough (Northumberland)|0789
|Farnese, ital. Fyrsteslægt, blandt hvis Medlemmer forekommer fremragende Gejstlige, Krigere og Statsmænd|0789-0790
|Farnese, Palazzo, en af de skønneste Profanbygninger i Rom|0790
|Farnesina, Villa, i Rom paa Tiberen's højre Bred ved Foden af Janiculus|0790
|Farnesiske Kunstværker, en Række Skulpturer fra Oldtiden, de fleste opr. fundne i Caracallas Termer|0790-0791
|Farnham, By i det sydøstlige England, Surrey, ved venstre Bred af Themsens Biflod Wey|0791
|Farn islands, ogsaa kaldet Staples, bestaar af 2 Grupper af smaa Klippeøer, der ligger tæt ved Englands Østkyst|0791
|Farnworth, hurtig opblomstrende Fabriksby i det vestlige England, Lancashire, 2 km SØ. f. Bolton|0791
|Faro, Cap di F., Punta del Faro, det nordøstligste Forbjerg paa Sicilien, ved Indgangen til Messina-Strædet|0791
|Faro, By i Portugal, Hovedstad i Distriktet F., ligger 273 km SØ. f. Lissabon|0791
|Faro (Paro), Tilløb til Niger's Biflod Binuë, udspringer i Adamaua SV. f. Ngaundere,|0791
|Faros, gr.-ægypt. Navn paa en Ø, der i Oldtiden laa foran Nordkysten lige over for den lille ægypt. By Rakotis, |0791
|Faroslys, en Art Belysning med Presgas, d. v. s. alm. Kulgas|0791
|Farquhar, George, eng. dram. Forf., (1678-1707)|0791-0792
|Farr, William, eng. Statistiker, (1807-1883)|0792
|Farragut, David Glasgow, nordamerikansk Admiral, (1801-1870)|0792-0793
|Farrakhabad, d. s. s. Faruchabad.|0793
|Farrar, Frederic William, eng. bredkirkelig Teolog, (1831- )|0793
|Farrar, George Herbert, sydafrikansk Politiker, (1859- )|0793
|Farrar, Geraldine, Operasangerinde (Sopran), (1882- )|0793
|Farre, Jean Joseph Frederic Albert, fr. General, (1816-1887)|0793
|Farris (Farrisvand), et stort Vand straks N. f. Larvik, Brunlanes Herred, Jarlsberg og Larvik Amt|0793
|Farruchi, Abu-l-Hassan Ali, persisk Digter ( -1077)|0793
|Fars. Hovedbestanddelen af Fars er enten Kød, Fisk, Linser e. l.|0793
|Fars, se Farsistan.|0793
|Farsalos, oldgræsk By i Thessalien, 42 km S. f. Larissa, i Oldtiden en rig og mægtig By|0793
|Farsang (Farseng, Fersach), tidligere tyrkisk Mil, Agatsch, og endnu pers. Mil, men af forsk. Længde (5600-6700 m)|0793-0794
|Farsan-Øerne, Øgruppe i det Røde Hav ved Kysten af Yemen|0794
|Farschut, By i Øvreægypten, Prov. Keneh, ligger 5 km V. f. Nilen ved en Kanal|0794
|farsere, fylde med Fars (s. d.).|0794
|Farsi, Sproget i Fars, d. e. Persien, se persisk Sprog og Litt.|0794
|Farsistan (Fars). Provins i Persien, ved den persiske Bugt|0794
|Farsot, se Epidemi.|0794
|Farsund, Ladested i Lister og Mandal Amt|0794
|Farsø, stærkt voksende Sogneby i Nørrejylland (Gislum Herred, Aalborg Amt), c. 50 km SV. f. Aalborg og c. 23 km S. f. Løgstør|0794
|Fart (Søv.) |0794
|1) den Hastighed, hvormed et Skib bevæger sig frem gennem Vandet|0794
|2) F. ell. Søfart, den Tid, en Sømand har faret til Søs|0794
|3) F. den Art af Søfart, hvori en Sømand har været beskæftiget|0794
|Farthing, engelsk Bronze-Mønt = 1/4 Penny|0794
|Fartøj (Søv.) betegner i Reglen et mindre Skib ell. en Baad|0794
|Faruchabad, |0794
|1) Distrikt i Divisionen Agra i de indobritiske United prov.|0794
|2) By i Distriktet F.|0794
|Farum Sogne- og Stationsby i Nordsjælland, Ølstykke Herred, Frederiksborg Amt, c. 20 km NV. f. Kbhvn|0794-0795
|Farum Sø i Nordsjælland paa Grænsen af  Kbhvn's og Frederiksborg Amter|0795
|Farvand (Søv.), et nærmere betegnet Vandomraade, som kan befares af Skibe ell. Baade Farvandet Syd for Fyn|0795
|Farve (tekn.) er ethvert Stof, der benyttes til at bibringe et andet Stof en ell. anden F.|0795
|Farve. Et Legemes F. er bestemt ved Sammensætningen af det Lys, Legemet udsender|0795-0796
|Farve. Naar Øjet træffes af en Lyspaavirkning, opstaar en ejendommelig Bevidsthedstilstand, som kaldes Farvefornemmelse ell. F.|0796
|Farveafvigelse, se Akromatisme.|0796
|Farvebeskyttelse, se Mimicry.|0796
|Farveblindhed (tidligere ofte kaldt Daltonisme) er enten medfødt ell. erhvervet|0796-0797
|Farvede kaldes navnlig i Amerika, alle de Befolkningselementer, som ikke er af ren hvid *c: europ. Afstamning|0797
|Farvefilter. En farvet Hinde ell. Opløsning, der benyttes til at tilbageholde bestemte Farvestraaler|0797
|Farvefornemmelse kaldes de elementære Bevidsthedstilstande, i hvilke vore sammensatte Synsbilleder kan opløses|0797
|Farvefotografi|0797-0798
|Farvefrihed, se Akromatisme.|0798
|Farvefylde (Sättigung der Farben, l'intensité spécifique des couleurs)|0798
|farvefølsomme Plader, se Farvefotografi.|0798
|Farvegivning kaldes Paalægning af Farve paa et Legeme, hvis naturlige Farve ikke skal træde frem|0798
|Farveharmoni siges at være til Stede mellem Farver, som sammenstillede gør en æstetisk tiltalende Virkning|0798-0799
|Farveindtryk, dels den ydre Lyspaavirkning, dels selve Akten, og endelig Resultatet, den fremkaldte Farvefornemmelse|0799
|Farvekontrast kaldes den Forandring, som to Farver gensidig lider derved, at de opfattes samtidig|0799-0800
|Farvelak, Forbindelse af Farvestoffer med Metaloxyder|0800
|Farvelav, se Orseille.|0800
|Farvelegemer (Kromatoforer) kaldes i Botanikken visse Legemer, der er indlejrede i Cytoplasmaet|0800
|Farvelære, Læren om Farverne, er ikke en selvstændig Videnskab|0800
|Farvemaaler, se Kolorimeter.|0800
|Farvemølle, se Farve (tekn.)|0800
|Farvenomenklatur, Navnefortegnelse over Farverne, Maade at benævne dem paa|0800-0801
|Farvenuance kaldes den ved sin Farvetone, Farvefylde og Afskygning fuldstændig bestemte Farve (se Farvenomenklatur).|0801
|Farveplanter, Planter, af hvilke der udvindes teknisk brugbare Farvemidler|0801-0802
|Farveri|0802-0804
|Farveringe, Newton's, se Interferens.|0804
|Farverivemaskine, se Farve (tekn.).|0804
|Farvernes Æstetik, Læren om de af Farverne fremkaldte æstetiske Følelser|0804-0805
|Farvesans, Evnen til at opfatte Farve|0805-0806
|Farveskifte er et hos lavere Hvirveldyr (Krybdyr, Padder og Fisk) og hos visse Bløddyr ret alm. Fænomen|0806
|Farveskive er en cirkelrund Skive af Papir ell. Karton, som er bedækket med forsk.Farvestoffer|0806-0807
|Farvespektrum, se Spektralanalyse.|0807
|Farvespil, Skiften af de Farver, et Legeme viser, kan fremkomme paa fl. Maader|0807
|Farvespredning, se Dispersion.|0807
|Farvestifter, kulørte Blyanter, tilvirkes som alm. Blyanter|0807
|Farvestoffer, se Farve (tekn.).|0807
|Farvestraaler, se Farve og Spektralanalyse.|0807
|Farvesymbollk, Anvendelse af bestemte Farver i Klædedragt ell. paa andre Maader|0807
|Farvesystem kaldes den Ordning af Farverne i et rumligt Skema|0807-0809
|Farvetone. Enhver Farve, med Undtagelse af rent hvidt og sort og de mellemliggende Afskygninger af graat|0809
|Farvetryk kaldes i alle grafiske Virksomheder den givne Skrift- ell. Billedforms Aftrykning  i andre Farver end sort|0809-0813
|Farvetræ, Handelsbetegnelse for de Træsorter, der indeholder Farvestof, som benyttes i Industrien|0813
|Farvetræekstrakt|0813
|Farvetræmølle, se Farvetræ.|0813
|Farvetræsnit, se Farvetryk.|0813
|Farvevalse, de cylindriske Legemer, med hvilke man overfører Farvestofferne paa de til Aftryk bestemte Trykflader|0813
|Farvevarer, se Farve (tekn.).|0813
|Farvning, se Farveri.|0813
|Farvning af Guldsager, se Metalfarvning.|0813
|Far West (eng.), »fjerne Vesten«, en Betegnelse for de vestlige Dele af U. S. A.|0813
|Faryngitis (gr.), Svælgkatarr, er en Betændelsestilstand af Svælgslimhinden|0813
|Faryngoskopi (gr.), Undersøgelse af Svælget, nærmest dog udført ved Hjælp af Synet.|0813-0814
|Faryngotomi (gr.), Operation, hvorved man baner sig Vej til Svælget|0814
|Farynx (gr.), Svælg.|0814
|Farynxkriser, Anfald af krampagtige Synkebevægelser, som kan optræde ved Rygmarvstæring|0814
|Farø, lille, lav og skovløs Ø, der ligger i Smaalands-Farvandet midt imellem Sjælland og Falster|0814
|Fâs, se Fes.|0814
|fas, guddommeligt Udsagn, Bud; deraf Ret (den guddommelige Ret ell. Verdensorden i Modsætning til jus, Loven)|0814
|Fasa (Fassâ), By i Persien, Prov. Farsistan|0814
|Fasaner. Blandt Hønsefuglenes Familier rummer Fasanfuglene (Phasianidæ) alle de egl. Høns|0814-0815 0817
|Fasaneri (Fasangaard)|0815-0816
|Fasanjagt, se Fasaneri.|0816
|Fasano, By i Syditalien, Prov. Bari, ligger 54 km SØ. f. Bari|0816
|Fasan-Øen, se Bidasoa.|0816
|fasces (lat.) var hos Romerne nogle Knipper af Stokke af Ælme- ell1. Birketræ, sammenbundne med røde Baand|0816 0819
|Fasch, Carl Friedrich Christian, tysk Musiker, (1736-1800)|0819
|Fasching, i Bayern og Østerrig Betegnelse for Karneval.|0819
|Faschoda, Militærpost paa venstre Bred af Øvre-Nil, anglo-ægypt. Sudan|0819
|fascia, lat, Bind, Omvikling, Gjord, særlig om Bind, der anvendtes som supplerende Dele af rom. Dragt|0819
|Fasciation (lat.) kaldes i den bot. Teratologi den ejendommelige Art Misdannelse, ved hvilken Stængelen bliver baandformet|0819
|Fascie-Epistyl, i Bygningskunsten en i to eller ,tre, svagt om hinanden fremspringende Baand delt Epistyl ell. Architrav|0819
|Fascikel (lat. fasciculus), Bundt, Hæfte. Dokumentsamling.|0819
|Fascination (lat.), Fortryllelse, Forhekselse (f. Eks. ved onde Øjne), Forblindelse|0819
|fascinum, lat., Forgørelse, »Trolddom«, dernæst alm.: Middel mod Forgørelse,|0819
|Fase (gr.), Udseende, Skikkelse; i Astronomien den skiftende Form, Maanen har efter sin forsk. Stilling|0819-0820
|Fase (fys.-kem.) betegner for et homogent Stof den Tilstandsform, hvori Stoffet optræder (Is, Vand og Damp er Vandets F.)|0820
|Fase (elektrisk)|0820
|Faseforskydning (elektrisk).|0820
|Faselis, Søstad i Lykien ved den pamfyliske Bugt, grundet af doriske Udvandrere,|0820
|Faselov, se Gibbs' F.|0820
|Fasemaaler, elektrisk Maaleinstrument, som viser Faseforskydningen &#981; mellem to Spændinger|0820
|Fasespænding, se Fase.|0820
|fas est et ab hoste doceri (lat.), det er rigtigt ogsaa at lære af Fjenden|0820
|fashion (eng.), Mode, god Tone, Skik og Brug i den fine Verden|0820
|Fasis, nu Rion, Flod i Lilleasien, syd for Kaukasus, ofte i Oldtiden regnet for Grænseflod mellem Europa og Asien|0820
|Faskinbænk, se Faskiner.|0820
|Faskiner, et ved Vandbygningsarbejder hyppig anvendt Byggemateriale, bestaaende af Grene|0820-0822
|Faskinkniv, en c. 30 cm lang og 6 cm bred, med Haandtag forsynet Kniv|0822
|Fáskrúdsfjörður, en Fjord i det østlige Island S. f. Reyðarfjörður|0822
|Fasokl, Fazogli, et skovrigt Bjerglandskab ved Bahr-el-Asrek paa Grænsen mellem Abessinien og Anglo-ægyptisk Sudan|0822
|Fass, tidligere tysk Hulmaal og endnu undertiden tysk Bibetegnelse for Hektoliter.|0822
|Fassâ, se Fasa.|0822
|Fassa-Dalen, Val di Fassa, høj Alpedal i det østerr. Landskab Tyrol|0822
|Fassait, se Pyroxen.|0822
|Fassaner-Alperne, se Fassa-D alen.|0822
|fast, festmachen, »at gøre sig f.« *c: usaarlig over for Skud- og Hugvaaben|0822-0823
|Faste bet. i Alm. det at afholde sig fra at tage Næringsmidler til sig i en vis Tid|0823
|Fastebreve kaldes de aabne Skrivelser, som de rom.-kat. Bisper før Fastetiden udsteder til de Troende|0823
|fast Ejendom (jur.), den enkelte begrænsede Del af Jordoverfladen, der fremtræder som særegent Retsobjekt|0823-0824
|Fastekringle. Bagværk af Gærdejg e. l.|0824
|Fastelavn, af det tyske fastel-auen (abend), paa ældre Dansk Fastelagen|0824-0825
|Fastelavnsboller. Bagværk af fin Gærdejg med Rosiner og Sukat|0825
|Fastelavnsspil, dram. Forestillinger i Fastelavnstiden|0825-0826
|faste Legemer kalder man de Legemer, der har Formspændighed|0826
|Fastenrath, Johann, tysk-sp. Forf., (1839-1908)|0826
|Fastepart (Søv.) ell. staaende Part benævnes den Tamp (Ende) af et Tov, som er fastgjort|0826
|Fasteprædikener kaldes de Prædikener, som i Fastetiden holdes uden for Søndagsgudstjenesten|0826
|Fastestang (Søv.) benævnes det midterste Stykke af en fuldrigget Mast|0826
|faste Stillinger, i Krigskunsten saadanne naturlige Forsvarsstillinger, der er forstærkede ved Feltbefæstningsanlæg.|0826
|faste Stok ell. Holmens f. S. betegnes det i Marinens Tjeneste fastansatte Personel|0826
|fastgællede, se Fisk.|0826
|Fasti ell. Splid, uddød dansk Adelsslægt|0826-0827
|fasti (lat. dies f.) kaldtes hos Romerne de Dage, paa hvilke det var tilladt at holde offentlige Forhandlinger|0827
|fastidiøs (lat.), modbydelig, kedsommelig, overmodig.|0827
|Fastigium (lat.), Højdepunkt, særlig Feberens Højdepunkt, synonymt med Acme; smlg. i øvrigt Feber.|0827
|Fasting, Claus, norsk Forf., (1746-91)|0827
|Fasting, Georg Frederik Christopher, norsk Skolemand og Forf., (1837-1914)|0827-0828
|Fasting, Ole Wilhelm, norsk Ingeniør og Forf., (1852-1915)|0828
|Fasting, Thomas, norsk Søofficer og Statsraad, (1769-1841)|0828
|Fastkæber (Pectognathi), Underorden af Benfisk, hvor Mellemkæbebenene er ubevægelig forbundne med Overkæbebenene|0828-0829
|Fastland.|0829
|Fastlatidsspærringen, se Kontinentalsystem.|0829
|Fastlandstid, Betegnelse for det Afsnit af Kvartærperioden, da Nordeuropa laa saa meget højere end nu|0829
|Fastmassetal er i Skovbruget Udtryk for den Vedmængde, der findes i de forsk. Sortimenter, Rummeter, Bunker o. l.|0829
|Fastolf, John, eng. Adelsmand, ( -1459)|0829-0830
|fast Ophold her i Landet|0830
|fastoso (ital.), mus. Foredragsbetegnelse: pragtfuldt, stolt, højtideligt|0830
|Fastov, By i det sydvestlige Rusland, Guv. Kijev, 60 km SV. f. Kijev|0830
|fast Regning. Køb i f. R.|0830
|Fastsættelsessøgsmaal, d. s. s. Anerkendelsessøgsmaal, se Anerkendelse.|0830
|fastuøs (lat.), pragtfuld, prægtig, prunkende, hoffærdig.|0830
|Fata, Flertal af Fatum (s. d.).|0830
|fatal (lat., af fatum, Skæbne), skæbnesvanger, uheldbringende, ubehagelig|0830
|fatalia (lat., af fatum, Skæbne), de skæbnesvangre *c: endelige og afgørende Frister|0830
|Fatalisme (lat.), betegner den Tro, at alt sker som Følge af en ufravigelig Skæbne|0830
|Fatalitet, se fatal.|0830
|Fata Morgana, se Luftspejling.|0830
|Fatehpur, se Fatihpur.|0830
|Fatesh, i Folkesproget Fitish, By i Mellemrusland, Guv. Kursk, 47 km NV. f. Kursk|0830
|Fathom (Favn), eng. Længdemaal. = 2 Yards = 6 Feet = 1,82878 m.|0830
|Fatigarh ['fa.tiga], Forstad til Faruchabad paa Ganges' venstre Bred|0830
|fatigere (lat.), trætte, udmatte, kede; fatigant, trættende, besværlig.|0830
|Fatiha (arab.: det indledende, nemlig Kapitel) kaldes det af 7 korte Vers bestaaende første Afsnit af Koranen|0830
|Fatihpur, Fatehpur, |0830
|1) Distrikt i de indobritiske United-Prov. mellem Floderne Ganges og Djamna|0830
|2) By i Distriktet F.|0830
|Fatihpur-Sikri, By i de indo-britiske United Provinces V. f. Agra|0830
|Fatima, Profeten Muhammed's yngste Datter, (606-632)|0831
|Fatimider kaldes det Dynasti, der herskede i Nordafrika og Ægypten 909-1171|0831
|Fatra, se Karpatherne.|0831
|Fatsia Dcne. et Planch., Slægt af Vedbendfamilien, med en enkelt Art, F. japonica (Thurnb.) Dcne. et Planch., et lille Træ|0831
|Fattâhi, se Fettahi.|0831
|Fattigafgift, Præstationer til Fattigvæsenet i Anledning af visse bestemte Begivenheder|0831
|Fattigblok, -bøsse, Kasser til Indsamling af Gaver til Fattige|0831
|Fattigdirektør. Medlemmerne af den for Kbhvn oprettede Bestyrelse for Fattigvæsenets Anliggender under Kbhvn's Magistrat|0832
|fattiges Bibel, de, se Biblia pauperum.|0832
|Fattigfoged (Betler-, Stodderfoged), kommunale Bestillingsmænd til Indfangelse af Betlere|0832
|Fattigforstandere er Mænd, der af Købstædernes Byraad udnævnes til1 at føre særligt Tilsyn med de Fattige|0832
|Fattigforsørgelse,  se  Fattigvæsen.|0832
|Fattiggaard, Fattighus, se Fattigvæsen.|0832
|Fattighjælp, se Fattigvæsen.|0832
|Fattiginspektør er den alm. Benævnelse for Forstandere for Fattighuse ell. Fattiggaarde|0832
|Fattigkasse. Særlige F. findes ikke i Danmarks kommunale Fattigpleje|0832
|Fattigkolonier, Bosættelsespladser for Trængende, som faar Lejlighed til ved Arbejdsomhed at skaffe sig en betrygget Stilling|0832
|Fattigkommission er Navnet paa det offentlige Fattigvæsens Bestyrelse i Handelspladserne|0832
|Fattiglem, se Fattigvæsen.|0832
|Fattiglovgivning, se Fattigvæsen. |0832
|Fattiglæger, offentlig beskikkede Læger til gratis Betjening af fattige Syge|0832
|Fattigpleje, se Fattigvæsen.|0832
|Fattigret, d. s. s. beneficium paupertatis, se beneficium.|0832
|Fattigskat. Grundlaget herfor er den eng. poor rate, der foreskrives i Elisabeth's Lov 1601|0832-0833
|Fattigskoler. Herom tales der kun i Lande uden obligatorisk Skolegang|0833
|Fattigudvalg, særlige Udvalg til Udførelse af Fattigvæsenets Forretninger|0833
|Fattigvæsen. Fattigdom, en Tilstand, i hvilken et Individ befinder sig, naar han ikke ejer det fornødne til sit Livsophold|0833
|Fattigvæsenet i Alm. falder i 2 Dele: Fattigforsørgelsen og Fattigpolitiet|0833-0835
|-- Den gældende Lovgivning uden for Norden.|0835-0838
|-- De nordiske Lande.|0838-0843
|Fattori, Giovanni, ital. Maler og Raderer, (1825-1908)|0843-0844
|Fatua, se Faunus.|0844
|Fatuitet (lat.), Ligegyldighed over for Omgivelser og Begivenheder, er et hyppigt Symptom ved Sindssygdom og Aandssvaghed.|0844
|Fatum, lat., »det talte«, Skæbnen, som een Gang bestemt ikke lader sig forandre|0844
|Fatuus, se Faunus.|0844
|faubourg (fr.), Forstad.|0844
|Fauces, d. s. s. Svælg.|0844
|Fauche-Borel, Louis, (1762-1829), Bogtrykker, virkede for de fordrevne Bourbon'ers Sag|0844
|Faucher, César og Constantin, »Tvillingerne fra la Réole«, fr. Generaler, (1760-1815)|0844
|Fauchet, Julius, tysk Publicist og Nationaløkonom, (1820-78)|0844
|Faucher, Léon, fr. Statsmand og Nationaløkonom, (1803-1854)|0844-0845
|Fauchet, Claude, fr. Biskop og Revolutionsmand, (1744-1793)|0845
|Faucigny, Landskab i Frankrig, det nordlige Savoyen, V. f. Montblanc-Gruppen|0845
|Faucille, Col de la, Pas- og Postvej over Jurabjergene|0845
|Faucilles, Monts, et skovrigt Højdedrag i det østlige Frankrig|0845
|Faucit, Helen, eng. Skuespillerinde, (1817-98)|0845
|Fauerholdt, Viggo, dansk Sømaler, (1832-1883)|0845
|Faugére, Armand Prosper, fr. Skribent, (1810-87)|0845
|Faujas de Saint-Fond, Barthélemy, fr. Geolog, (1741-1819)|0845-0846
|Faujasit, se Zeolitter.|0846
|faukale Lyd, saaledes kaldes af enkelte Fonetikere (Sievers) de ejendommelige Klaplyd, som kan høres ved Overgangen fra p til m|0846
|Faulensee, Landsby og Badested i det schweiziske Kanton Bern, tæt ved Thuner-Sø|0846
|Faulhorn, Bjerg i Kanton Bern i Schweiz, ligger i en Udløber fra Berner-Oberland|0846
|Faulmann, Karl, tysk Forf., (1835-94), Bogtrykker, Stenograf|0846
|Faun, se Faunus.|0846
|Fauna benævner man den samlede Dyreverden inden for et begrænset Omraade|0846
|Faunalia, lat. Fest, højtideligholdtes i December til Ære for Guden Faunus|0846
|Faunus, gammelitalisk Skov- og Markgud, Hjordenes Frugtbargører|0846-0847
|Faurbogaard Landbrugsskole i Holbæk Amt blev oprettet 1876|0847
|Faure, Amandus, tysk Maler og Raderer, (1874- )|0847
|Faure, Eugène, fr. Maler, (1822-1879|0847
|Faure, Felix, Præsident i den franske Republik 1895-99, (1841-1899)|0847
|Fauré, Gabriel Urbain, fransk Komponist, (1849- )|0847-0848
|Faure, Jean Baptiste, fr. Operasanger (Baryton), (1830- )|0848
|Fauriel, Claude Charles, fr. Filolog og Historiker, (1772-1844)|0848
|Fausbøll, Michael Viggo, dansk Orientalist, (1821-1908)|0848-0849
|Fauske, Herred, Nordlands Amt|0849
|fausse (fr.), Femininum af faux , falsk; f. alarme , blind Alarm; f. attaque  Skinangreb|0849
|Faussebraye (fr.) den lave Vold, som i det ældre nederlandske Befæstningssystem anlagdes ved Foden af Hovedvolden|0849
|Faust, Dr. Johann, bekendt vagabonderende Mager og Sortekunstner, (o.1490-o.1539)|0849-0851
|Faust, Carl, tysk Dansekomponist (1825-92)|0851
|Fausta, Flavia Maximina, rom. Kejserinde, Datter af Kejser Maximianus, ( -326)|0851
|Faustin, se Soulouque.|0851
|Faustina, |0851
|1) Annia Galeria (major), Datter af Bypræfekten Marcus Annius Verus, ( -1419)|0851
|2) Annia Galeria (minor), ( -176)|0851
|Faustmann, Martin, tysk Forstmand, (1822-1876)|0851
|Faustulus, Overhyrde over Kong Amulius' Svinehjorde|0851
|Faustus fra Mileve, Hovedmand for de afrikanske Manikæer, (o.400- )|0851
|Faustus fra Regium ell. Reji (Regiensis, Rejensis), Forf. i 5. Aarh., (c.400-c.491)|0851
|Fauteuil (fr.), Armstol, Lænestol, Præsidentstol|0851-0852
|Fautfragt (af fr. faute, Mangel), den Fragt, en Skipper er berettiget til at fordre for Gods|0852
|fautor (lat.), Begunstiger. f. delicti, Begunstiger af en Forbrydelse jfr Meddelagtighed).|0852
|Fauvel, Sulpice Antoine, fr. Epidemiolog, (1813-1884)|0852
|faux bourdon, en i Middelalderen opstaaet ejendommelig Art af flerstemmig Sang|0852
|Fava, Onorato, ital. Digter, (1859- )|0852
|Favara, By paa den sydvestlige Side af Sicilien, Prov. Girgenti, ligger 10 km Ø. f. Girgenti og 15 km fra Havet|0852
|Favaro, Antonio, ital. Matematiker, (1847- )|0852
|Favart, |0852
|1) Charles Simon, fr. dram. Forf., (1710-93)|0852-0853
|2) Charles Nicolas, (1749-1806), Sanger og Digter|0853
|Favart, Marie, egl. Pierelle Ignace Pingaud, fr. Skuespillerinde, (1833-1908)|0853
|Favart, Marie Justine Benoite, f. du Bonceray, fr. Skuespillerinde (1727-72)|0853
|Favé, Ildephonse, fr. General og Militærforfatter, (1812-1894)|0853
|Favén, Yrjö Antti, finsk Maler, (1882- )|0853
|Faventia. olditalisk By NØ. f. Apenninerne i Gallia Cisalpina, berømt for sin Vin og sine Linnedfabrikker, nu Faenza|0853
|Faverges, By i det østlige Frankrig, Dept Haute-Savoie|0853
|Faverolles, se Høns.|0853
|Faversham, By i det sydøstlige England, Kentshire, ligger 14 km NV. f. Canterbury |0853
|favete linguis (lat.) *c: afhold eder fra slet og vanhellig Tale!|0854
|Favier, Alphonse, fr. Missionær, (1837-1905)|0854
|Favignana, Oldtidens Ægusa, er den største af de ægadiske Øer, der ligger ved Siciliens Vestkyst|0854
|Favn, |0854
|1) dansk Længdemaal = 3 Alen = 1,883121 m|0854
|2) F. betegner i Skovbruget Salgsenheden for mange Varer, baade Brænde og Gavntræ|0854
|Favne-Dyb, mellem Øerne Fur og Livø i Limfjorden|0854
