# salmonsen/2/8/Articles.lst
#
index|Titel og indhold|0001 0003 0005
|Fre (Fra), nedreægyptisk Navn paa Solgen og Solguden|0856
|Frech, Fritz|0856
|Frechen|0856
|Fréchette, Louis Honoré|0856
|Frechulf|0856
|Fred- (Frid-)|0856
|Fred (retshist.)|0856-0857
|Fredag|0857
|Fredebrev, se Fredløshed|0857
|Fredegar|0857
|Fredegunde|0857
|Fredenheim, Carl Frederik (opr. Mennander)|0857-0858
|Fredensborg, Stationsby i Nordsjælland|0858
|Fredensborg, tidligere et dansk Fort paa Guldkysten|0858
|Fredensborg Slot|0858-0860
|Frédéric, Léon|0859
|Fredericia|0859 0862-0865
|Frederick|0865
|Fredericksburg|0865
|Fredericq|0865
|Fredericton|0865
|Frederik, opr. tysk Mandsnavn|0865
|Frederik (sv. Konge), se Fredrik|0865
|Frederik I, Konge i Danmark og Norge|0865-0867
|Frederik II, Konge i Danmark og Norge|0867-0869
|Frederik III, Konge i Danmark og Norge|0869-0872
|Frederik IV, Konge i Danmark og Norge|0872-0874
|Frederik V, Konge i Danmark og Norge|0874-0875
|Frederik VI, dansk-norsk, fra 1814 alene dansk Konge|0875-0879
|Frederik VI's Kyst, se Kong Frederik VI's Kyst|0879
|Frederik VII, Konge af Danmark|0879-0882
|Frederik VII's Kanal, se Løgstør Kanal|0882
|Frederik VII's Stiftelse, se Jægerpris|0882
|Frederik VIII, Konge af Danmark|0882-0883
|Frederik, Arveprins|0883-0884
|Frederik, Hertug|0884
|Frederik II, Hertug af Hosten-Gottorp|0884
|Frederik III, Hertug af Gottorp|0884-0885
|Frederik IV, Hertug af Holsten-Gottorp|0885
|Frederik Carl Emil, Prins af Augustenborg|0885
|Frederik Christian, Hertug af Augustenborg|0885-0886
|Frederik Christian Carl August, Prins af Augustenborg|0886
|Frederik Christian (Augustenborg)|0886
|Frederik (Prins af Nør)|0886
|Frederik (Hertug af Slesvig-Holsten, F. VIII)|0886
|Frederik Carl Ludvig, Hertug af Slesvig-Holsten-Sønderborg-Beck|0886
|Frederik Ludvig, Hertug af Slesvig-Holsten-Sønderborg-Beck|0886
|Frederik, Hertug af Lyksborg|0886
|Frederik, Prins af Hessen-Kassel|0886-0887
|Frederik, Vilhelm Georg Adolf|0887
|Frederik Vilhelm, med Tilnavnet den Store, Kurfyrste af Brandenburg|0887-0890
|Frederik I, kaldet Barbarossa, tysk Kejser|0890-0891
|Frederik II, tysk Kejser|0891-0892
|Frederik III, den Smukke, tysk Konge|0892-0893
|Frederik IV, tysk Konge|0893
|Frederik I, Konge af Preussen|0893-0894
|Frederik Vilhelm I, Konge af Preussen|0894-0895
|Frederik II, den Store, Konge af Preussen|0895-0900
|Frederik Vilhelm II, Konge af Preussen|0900-0901
|Frederik Vilhelm III, Konge af Preussen|0901-0902
|Frederik Vilhelm IV, Konge af Preussen|0902-0903
|Frederik III, Konge af Preussen og tysk Kejser|0903-0904
|Frederik I, den Stridbare, Kurfyrste af Sachsen|0904-0905
|Frederik II, den Sagtmodige, Kurfyrste af Sachsen|0905
|Frederik III, den Vise, Kurfyrste af Sachsen|0905
|Frederik August I, Konge af Sachsen|0905
|Frederik August II, Konge af Sachsen|0905-0906
|Frederik August III, Konge af Sachsen|0906
|Frederik August I og II (Kurfyrster af Sachsen og Konger i Polen)|0906
|Frederik II, »med Sølvbenet«|0906
|Frederik I, Storhertug af Baden|0906
|Frederik I, den Sejrrige, Kurfyrste af Pfalz|0906
|Frederik II, den Vise, Kurfyrste af Pfalz|0907
|Frederik V, Kurfyrste af Pfalz|0907
|Frederik August, Hertug af York|0907
|Frederik Christian, Hertug af Brandenburg-Kulmbach|0907
|Frederik Karl Ferdinand, Hertug af Braunschweig-Lüneburg-Bevern|0907
|Frederik Vilhelm, Hertug af Braunschweig og Lüneburg|0908
|Frederik Karl Nikolaus, Prins af Preussen|0908
|Frederik Vilhelm, Kurfyrste af Hessen|0908-0909
|Frederik Frants II, Storhertug af Mecklenburg-Schwerin|0909
|Frederik, Hertug af Württemberg|0909
|Frederik Hendrik, en lav, flad og skovbevokset Ø|0909
|Frederik Hendrik, Statholder i Nederlandene|0909-0910
|Frederik Vilhelm Georg, Prins af Nederlandene|0910
|Frederik, Prins af Nederlandene|0910
|Frederik af Altamura|0910
|Frederik II af Sicilien|0910
|Frederikd'or, se Christiand'or|0910
|Frederikke Amalie|0910
|Frederiksberg, Handelspladds|0910-0913
|Frederiksbergs Slot|0913-0915
|Frederiksborg|0913 0916-0921
|Frederiksborg Amt|0921
|Frederiksborg Hest|0921
|Frederiksborg Stutteri|0921
|Frederiksdal|0921
|Frederiksdal|0921-0922
|Frederiksen, Christian Erhard|0922
|Frederiksen, Kirstine|0922
|Frederiksen, Niels Christian|0922-0923
|Frederiksen, Hans Peter|0923
|Frederiksen, Tenna (Hortensia) Sophie Kristine|0923
|Frederiksgave, se Hagenskov|0923
|Frederikshaab|0923-0924
|Frederiskhamn (Fredrikshamn), finsk Hamina|0924
|Frederikshavn, Købstad i det nordlige Jylland|0924-0926
|Frederikshavn, Citadellet, se Kjøbenhavn|0926
|Frederikshavns Citadel, opr. Citadellet Fladstrand|0926
|Frederiksholm|0926
|Frederiks Hospital, det kgl., i Kbhvn|0926
|Frederikskirken i Kbhvn|0926-0927
|Frederikskirken, se Christianskirken|0927
|Frederiksnagor, se Serampur|0927
|Frederiksodde, se Fredericia|0927
|Frederiksoord, Fattigkoloni i den holl. Prov. Drenthe|0927
|Frederiksort (Friedrichsort), Fæstning i Sønderjylland|0928
|Frederiksstad (egl. Ny F.), Navn paa den Del af Kbhvn|0928
|Frederiksstad (Friedrichstadt), By i det sydvestlige Sønderjylland|0928-0929
|Frederikssted. By paa Vestsiden af Skt Croix, Virginia Øerne|0929
|Frederikssund, Købstad i Nordsjælland|0929-0930
|Frederiksværk, Købstad og Fabriksby i Nordsjælland|0930-0931
|Frederiksø, se Christiansø|0931
|Frederiks-Øerne, se Nikobarer|0931
|Fredfisk|0931
|Fred-Frode|0931
|Fredholm, Erik Ivar|0931
|Fredholm, Johan Henrik Gotthard|0931
|Fredkøb, se Fredløshed|0931
|Fredlysning|0931-0932
|Fredløs, se Lysimachia|0932
|Fredløshed|0932-0934
|Fredman's Epistlar og Fredman's Sånger, se Bellman|0934
|Fredning|0934-0936
|Fredningsbælte|0936
|Fredonia|0936
|Fredricit, se Falerts|0936
|Fredrik I, sv. Konge og Landgreve af Hessen-Kassel|0936
|Fredrika, Dorotea Vilhelmina, sv. Dronning|0937
|Fredrika-Bremer-förbundet, se Bremer-f.|0937
|Fredrik Adolf, sv. Prins|0937
|Fredrikshald|0937-0938
|Fredrikshaldsvasdraget, se Norge, »Samfæ®dselsmidler«|0938
|Fredrikson, Johan Gustaf|0938-0939
|Fredrikstad, Købstad i Smaalenenes Amt|0939-0941
|Fredriksten|0941-0942
|Fredriksværn, Herred|0942
|Fredro, Alexander|0942-0943
|Fredsblokade|0943
|Fredsbrud|0943
|Fredsdommer|0943
|Fredsforeninger, se Fredssagen|0943
|Fredsformation|0943
|Fredsfyrste|0943
|Fredsgudinde|0943
|Fredskonference|0943
|Fredskongres|0943
|Fredskov|0943
|Fredskys|0943-0944
|Fredspibe|0944
|Fredssagen|0944-0947
|Fredsskjold|0947
|Fredsslutning|0947-0948
|Fredsstyrken|0948
|Fredstraktat|0948
|Fredstrup, Carl Barner|0948
|Fredstrup, Petrine Georgine Caroline|0948
|free Church, se Frikirke|0948
|Freehold|0948
|Freeland|0948
|Freeman, Edward Augustus|0948-0949
|Freemans Journal|0949
|free on board|0949
|Freeport|0949
|Freese, Heinrich|0949
|Freesia|0949
|Freesoilers|0949
|Freetown|0949-0950
|Free-Will-Baptists|0950
|Fregat|0950
|Fregatfugle (Fregatidæ)|0950
|Fregatkaptajn|0950
|Fregellæ|0950
|Fregenal de la Sierra|0950
|Fregilupus|0950
|Fregilus, se Ravnefugle|0950
|Fregner (Ephelides)|0950
|Freher, Marquard|0951
|Frei, Herred|0951
|Freiamt|0951
|Freiberg|0951
|Freibergen, Franches-Montagnes|0951-0952
|Freibergit, se Falerts|0952
|Freiburg (F. im Breisgau)|0952
|Freiburg (Fribourg)|0952-0953
|Freiburg, By i den preuss. Prov. Schlesien|0953
|Freiburger-Alper|0953
|Freienwalde|0953
|Freiesleben, Johann Karl|0953
|Freiesleben, Theodor|0953-0954
|Freieslebenit, se Bournonit|0954
|Freiligrath, Ferdinand|0954
|Freire, L. J. Junqueira|0954
|Freire de Carvalho, Francisco|0954
|Freire de Carvalho, José Liberato|0954
|Freischärler|0954
|Freising|0954
|Freistadtl (ung. Galgósz)|0955
|Freiwaldau|0955
|Frej, Freja|0955
|Frejus|0955
|Freke|0955
|Frekvens (af lat. frequentia)|0955
|Frekvensmaaler|0955-0956
|Frekventativ eller Iterativ|0956
|frels, oldn. frjáls, fri|0956
|Frelse|0956
|Frelsens Hær|0956-0957
|Frelsens Orden (ordo salutis)|0957-0958
|Frelserens Kirke, se Vor Frelseres Kirke|0958
|Frelserens Orden, se Birgittinerordenen|0958
|Frelserens Orden, gr. Orden|0958
|Fremantle, Freemantle|0958
|Fremantle, Henry Eardley Stephen|0958
|Frembefragtning, se Tidsbefragtning og Subcharter|0958
|Frembringelse (jur.) (lat. specificatio)|0958-0959
|Fremdenblatt|0959
|Fremfald (Prolapsus)|0959
|Fremiet, Emmanuel|0959-0960
|Fremin, René|0960
|Freminet, Martin|0960
|Fremissement|0960
|Fremitus|0960
|Fremkalder|0960
|Fremkaldermaskine, se Rotationsfotografi|0960
|Fremkalderslør|0960
|Fremlaan ell. Overdragelsen af en Lejeret til Ting|0960
|Fremleje|0961
|Fremlæŋgelsespaategning|0961
|Fremmedartiklar (articuli pro peregrinis)|0961
|Fremmedbestøvning, se Bestøvning, S. 120|0961
|Fremmede. F. ell. Udlændinge|0961-0962
|fremmede Legemer (corpora aliena)|0962
|Fremmedkollegier|0962
|Fremmedlegion|0963
|Fremmedlove, se Fremmede|0963
|Fremmedord|0963-0964
|Fremmedpoliti|0964-0965
|fremmed Ret, se international Privatret|0965
|Fremmers, se Frammers|0965
|Fremont|0965
|Fremont, John Charles|0965
|Fremonts Hammer, se Slagforsøg|0965
|Frempant|0965
|Fremri Namur|0965
|Fremskridtspartiet|0965-0966
|fremskudt Fort, se Fæstning|0966
|fremskudt Signal|0966
|fremskudt Stilling|0966
|Fremstad, Olive|0966
|Fremstilling|0966-0967
|fremsynt, se Clairvoyance|0967
|Fremtid, se Futurum|0967
|Fremtiden|0967
|Fremtidsmusik|0967
|Fremtrækning|0967
|Frémy, Edmond|0967
|French, Daniel Chester|0967
|French, John Denton Pinkstone|0967-0968
|French, Thomas Valpy|0968
|Frenchmans Bugt|0968
|Frenela|0968
|Frenesi|0968
|Frengi|0968
|Frenkels Øvelsesterapi|0968
|Frenologi|0968-0969
|Frenopati|0969
|Frenosin|0969
|Frensdorff, Ferdinand|0969
|Frenssen, Gustav|0969-0970
|Frentanerne|0970
|Frenzel, Karl Wilhelm Theodor|0970
|Freppel, Charles Émile|0970
|frère|0970
|Frère, Charles Théodore|0970-0971
|Frère, Peirre Édouard|0971
|Frere, Henry Bartle Edward|0971
|Frere, John Hookham|0971
|Frère-Côme, se Baseilhac|0971
|Frère-Orban, Hubert Josephe Gautier|0971-0972
|Fréret, Nicolas|0972
|Frerichs, Friedrich Theodor|0972
|Fréron, Stanislas Louis Marie|0972
|Frescaty|0972
|Frescobaldi, Girolamo|0972
|Frese (ell. Freese), Jakob|0972-0973
|Fresenius, Carl Remigius|0973
|Freskomaleri|0973-0975
|Fresnel, Augustin Jean|0975
|Fresnel, Fulgence|0975
|Fresnels Formler, se Spejling|0975
|Fresnels Parallelepipedum|0975-0976
|Fresnels Spejlforsøg|0976
|Fresnes|0976
|Fresnillo|0976
|Fresno|0976
|Fresnoy le Grand|0976
|Fretheim|0976
|fretta|0976
|Freuchen, Peter Petersen|0976-0977
|Freud, Sigmund|0977
|Freudenstadt|0977
|Fredenthal|0977
|Freudenthal, Axel Olof|0977
|Freuds Psykoanalyse|0977
|Freund, Georg Christian|0977
|Freund, Hermann Ernst|0978-0979
|Freund, Wilhelm|0979
|Freund, Wilhelm Alexander|0979
|Frévent|0979
|Frey (rettere Frøy; middelalderlig dansk og sv. Frø)|0979-0980
|Frey, Adolf|0980
|Frey, Emil|0980
|Frey, Friedrich Hermann|0980
|Freya (rettere Frøyja)|0980-0981
|Freyalit, se Thorit|0981
|Freycinet, Charles Louis de Saulces de|0981-0982
|Freycinet, Louis Claude Desaulces de|0982
|Freycinet Estuary, se Sharks Bay|0982
|Freycinet Harbour, se Sharks Bay|0982
|Freydorf, Rudolf|0982
|Freylinghausen, Johann Anastasius|0982
|Freystadt, Freistadt|0982
|Freytag, Georg Wilhelm Friedrich|0982-0983
|Freytag, Gustaf|0983
|F. R. G. S.|0983
|Friaktie|0983
|Friant, Émile|0983
|Friant, Louis|0983-0984
|Friaul, Hertug af, se Duroc|0984
|Friaul (ital. Friuli)|0984
|Fribad|0984
|Friballon (Ballon), se Luftsejlads|0984
|Fribert, Frederik Louis Trojel|0984
|fri Bevisteori, se Bevis, S. 147|0984
|fribladet, se Blomst, S. 459|0984
|Fribord (Søv.)|0984-0985
|Friborg, Jørgen|0985
|Fribourg, se Freiburg|0985
|Fribrev|0985
|Fribytter|0985-0986
|Fric (Fritsch), Anton|0986
|Fric, Josef Václav|0986
|Frich, Joachim Christian Geelmuyden Gyldenkrantz|0986
|Frickthal|0986
|Frida, Emil Bohus|0986-0987
|Friderichsen, Peter Christian Nicolaj|0987
|Fredericia, Julius Albert|0987
|Friðjónsson, Guðmundur|0987-0988
|Fridleif|0988
|Fridok|0988
|Fridolin, den hellige|0988
|Friðriksson, Halldór Kristján|0988
|Fridthjofs Saga|0988
|Frieberg, Frans Alfred|0988
|Fried, Alfred Herrmann|0989
|Fried, Oskar|0989
|Friedberg|0989
|Friedberg, Emil Albert|0989
|Friedberg, Heinrich von|0989-0990
|Friedeberg|0990
|Friedek|0990
|Friedelit|0990
|Friedenau|0990
|Friedenreich, Alexander|0990
|Friedenthal, Rudolf|0990
|Friederichsen, Heinrich Vilhelm|0990
|Friedheim, Arthur|0990
|Friedl, Theodor|0990
|Friedland|0990-0991
|Friedland, Valentin|0991
|Friedländer, Friedrich Ritter von Malheim|0991
|Friedländer, Julius, dansk Maler|0991
|Friedländer, Julius, tysk Numismatiker|0991
|Friedländer, Ludwig|0991
|Friedländer, Max, tysk Musikforfatter|0991
|Friedländer, Max, tysk Kunsthistoriker|0991
|Friedman, Ignaz|0991
|Friedmann, Alfred|0991-0992
|Friedmann, Sigwart|0992
|Friedreich, Nikolaus|0992
|Friedreichs Sygdom, Friedreichs Tabes, heriditær Ataksi|0992
|Friedrich, Johann|0992
|Friedrich, Kaspar David|0992-0993
|Friedrichroda|0993
|Friedrichsfelde, Berlin-F.|0993
|Friedrichshafen|0993
|Friedrichshagen|0993
|Friedrichshallervand|0993
|Friedrichsruh|0993
|Friedrichsthal-Bildstock|0993
|Friehling, Bernhard|0993
#
#
